input,label
거울보니까 내가봐도 예쁜데 ㅋㅋ &name&도 자꾸 예쁘다해주니까 좋다😆😆,"[0, 1, 0, 0, 0]"
핡.. 이고 넘나 귀염뽀짝!✨,"[0, 1, 0, 0, 0]"
제룰 좋아하는 노랑노랑 컬러에 디자인도 쪼꼬미라 운동 나갈 때 주머니에도 쏙~,"[0, 1, 0, 0, 0]"
"작은 내 귀에도 편하게 잘 맞고.. 블투 연결도 쉽고, 충전 빠른 것도 짱짱!!","[1, 0, 0, 0, 0]"
#디올선미레드 라는 애칭이 벌써 붙었을만큼 핫한 #758레드 컬러는 &name&씨도 사용했네욤!💄,"[0, 0, 1, 0, 0]"
&name& #&name&추천템 !,"[0, 0, 1, 0, 0]"
역시 다들 좋다좋다~ 하는 제품은 이유가 있나봐요💘,"[0, 0, 1, 0, 0]"
요즘 컨디션도 안 좋고 건조해서 그런지 부쩍 칙칙하고 푸석한 피부 때문에 고민이었는데 소문난 제품 써보기 전에 둑흔둑흔~ㅎㅎ,"[0, 0, 1, 0, 0]"
좋아하는 뷰티유튜버 &name&가 만든 쿠션제품이라고 해서 어떨지 넘나 궁금했는데🙄 직접 써보니 대박 촉촉하고 컬러감 대박,"[0, 0, 1, 0, 0]"
얇은 초슬림 패키지 덕에 미니백에도 쏙쏙~ 들어가고 입술라인은 아찔하게 표현하고>ㅆ<,"[1, 0, 0, 0, 0]"
#SEP 매장에 가보면 컬러도 다양하고 타입도 다양해서 취향 껏 고를 수 있는 것도 #SEP립스틱 의 장점👍🏻,"[0, 0, 0, 0, 1]"
기존 모델링보다 훨씬 간편하게 제조해서 사용할 수 있다는 점도 너무 좋아요 !!,"[1, 0, 0, 0, 0]"
섞어서 사용하기만 하면 되는 모델링팩이라 너무 좋습니다,"[1, 0, 0, 0, 0]"
가격이 착하고 사용법이 간편해서 더 좋아요,"[1, 0, 0, 1, 0]"
피부 상황에 따라 다르게 앰플을 골라 사용 할 수 있는 제품인 지디일레븐 셀 팩토리 주사기 앰플,"[0, 0, 0, 0, 1]"
로겐조향수 작아서 가지고 다니기도 좋고 여름철에 선물하기에도 좋은 것 같아용 !,"[1, 0, 0, 0, 0]"
지속력도 아침에 그리면 야자감독한 밤까지 거의 14시간 정도 쭉 가고 그리기도 쉬운 붓펜이에용 ~~,"[1, 0, 0, 0, 0]"
역시 모테라이너 유명한 이유가 있네용 💜,"[0, 0, 1, 0, 0]"
그날그날 기분따라 아이라이너 색도 바꿔주고있습니당,"[0, 0, 0, 0, 1]"
"리뷰가 20,000개 가까이 되는 많은 사람들이 사랑하는 제품이랍니다 !","[0, 0, 1, 0, 0]"
여전히 사용감은 너무 좋은데 패키지는 더 세련되게 변한 것 같아요.,"[0, 1, 0, 0, 0]"
간편하게 뽑아서 사용하는 바디티슈가 피부관리 바디관리까지 해줘서 저같은 귀차니스트에게 딱이라 생각했어요 .,"[1, 0, 0, 0, 0]"
너무 간편하게 깨끗하게 쓸 수 있다는 것이 개인적으로 제품에서 가장 마음에 들었던 점이에용,"[1, 0, 0, 0, 0]"
그리고 미스트의 편리함과 위생에도 탁월,"[1, 0, 0, 0, 0]"
10초만에 바르고~ 마르고~ 흡수까지 다 되서 완전 간편하다구용,"[1, 0, 0, 0, 0]"
사용이 간편해서 너무 좋고 다른 제품과 비교하여 이 제품만이 가지고 있는 의미있는 특이점이 바로 10초만에 풋케어가 가능하다는게 아닐까 생각해요,"[1, 0, 0, 0, 0]"
그리구 어린이부터 어른까지 사용할 수 있는 온가족선크림이라는것,"[1, 0, 0, 0, 0]"
우리아이 피부 솔루션 1등급원료의 화장품 고급스러운 패키지  디자인으로 아가 31도 #출산선물 로도  좋을꺼 같아요.,"[0, 1, 0, 0, 0]"
한번도 안 써본 사람은 있지만 한번만 써본 사람은 없을 정도로.. 가격은 조금 비싸지만 직접 써보니까 역시 달라~,"[0, 0, 0, 1, 0]"
홈쇼핑에서도 잘 팔리는 이유를 알겠더라고요^^,"[0, 0, 1, 0, 0]"
틴 케이스 형태로 다자인도 고급스러워 선물용으로도 딱임~요,"[0, 1, 0, 0, 0]"
디자인도 깔끔하니 #인테리어 효과도 있네:),"[0, 1, 0, 0, 0]"
휴대도 편리하니 곧 다가오는 휴가시즌 꼭 챙겨가서 꾸준히 사용하려구요ㅎ,"[1, 0, 0, 0, 0]"
일명 #승무원비누 라고 유명하죠 ㅎㅎㅎ,"[0, 0, 1, 0, 0]"
"바디워시, 세안 및 클렌징에도 사용 할 수 있죠~","[1, 0, 0, 0, 0]"
포장도 예쁘니까 선물해도 정말 좋을듯하네요^^,"[0, 1, 0, 0, 0]"
저 샤프 가성비 좋아요!,"[0, 0, 0, 1, 0]"
출시 이후 30만개 이상 판매될만큼 아주 핫한 제품으로 등극,"[0, 0, 1, 0, 0]"
그리고 인스타에서도 완전 인기몰이중~~~,"[0, 0, 1, 0, 0]"
예쁜 컬러라서 주방인테리어 소품으로 활용해도 손색없더라구요~,"[0, 1, 0, 0, 0]"
연예인도 추천하는 킴리코리아 케이탱크 👍,"[0, 0, 1, 0, 0]"
여기에 세련되고 고급스런 디자인과 편안한 그립감을 가졌답니다,"[0, 1, 0, 0, 0]"
그리고 배터리 히팅젠더 캡도 분리되어 청소 및 as(파츠 구매 가능) 용이해요,"[1, 0, 0, 0, 0]"
요즘 부쩍 주름이 늘어서 아는 언니에게 관리하는법을 물어보고 추천받은 홈쇼핑 화제의 주름개선 화장품 이미용 부문 1위 #나인테일즈,"[0, 0, 1, 0, 0]"
#정사이즈핏 그대로 너무 편해요 💖,"[1, 0, 0, 0, 0]"
2 in 1 이라 완전 편하다~!,"[1, 0, 0, 0, 0]"
아 넘나 예뿌기 ~~~~~~~ ㅋ,"[0, 1, 0, 0, 0]"
어머 너무 예뻐 >_<..,"[0, 1, 0, 0, 0]"
왜들 좋아하는지 이유를 알겠슴..,"[0, 0, 1, 0, 0]"
맨날 .. 따로따로 #마스크팩 하기 귀찮았는데 넘나 좋으깅..,"[1, 0, 0, 0, 0]"
사용할수록 간편해서 맘에 드는 #dalba #7_33 ..,"[1, 0, 0, 0, 0]"
애정하는 #악세사리 #블루나일 넘 이뿌네..,"[0, 1, 0, 0, 0]"
진짜 유명템이라 궁금했는데.. 왜 그렇게들 추천하는지 이젠 알게뜸..,"[0, 0, 1, 0, 0]"
이렇게 #비글미 터지는 둘째도 .. 피부는 참 절 닮아 연약한대 ^-^.. 요즘 보송한 미국 병원 판매율 1위 기저귀인 #팸퍼스스와들러 착용하며.. 피부에 자극도 없이 잘 자고 잘 놀고.. 방방 뛰어다니네염,"[0, 0, 1, 0, 0]"
그래서인지 누적판매량도 어마어마..,"[0, 0, 1, 0, 0]"
요즘 고데기 사용하면서 머리님 더 심각하게 ㅠ_ㅠ 손상이 되어서 요즘 핫하다는 #아윤채 #커컴플리트리뉴 라인을 써보는 중이에영 ~ ^-^,"[0, 0, 1, 0, 0]"
본래도 아윤채가 뷰티 유투버나 SNS에서도 핫해서 써보고 싶었거든영 ㅎ,"[0, 0, 1, 0, 0]"
오늘 #올영 갔다가 예쁜 #모공에센스 .. 있기에 챙겨왔죠,"[0, 1, 0, 0, 0]"
예쁘다..,"[0, 1, 0, 0, 0]"
참 #육아용품 이지만 엄마의 기준에서.. 또 이렇게 스타일까지 만족시켜주니 굳..,"[0, 1, 0, 0, 0]"
더군다나 예쁘기까지,"[0, 1, 0, 0, 0]"
편리한 펌핑타입에 가격도 굿!,"[1, 0, 0, 1, 0]"
아이도 어른도.. 부담없이 사용할 수 있는 제품 ..,"[1, 0, 0, 0, 0]"
늘 찾게되는 가격좋고~ 품질좋아~ 늘 만족도 100인 아동복쇼핑몰 제이키즈,"[0, 0, 0, 1, 0]"
평소에도 편안하고 예쁘게 입고 특별한 날 입어도 손색이 없는 사랑스런 원피스~,"[1, 1, 0, 0, 0]"
고급스럽고 편안한 레이어드타입 원피스,"[1, 1, 0, 0, 0]"
130cm/24kg 딸 13호 입었는데 사이즈는 좀 넉넉하게 나온거 같아요~,"[1, 0, 0, 0, 0]"
"공구가방도 있어 정리도 보관도 좋고 잘가지고 놀고, 가격대비 만족만족","[0, 0, 0, 1, 0]"
그런저에게 예쁜 #핸드워시 와 #주방세제 선물 고마워요~,"[0, 1, 0, 0, 0]"
휠다이얼버튼으로 온오프에 바람세기 조절까지 되는데 정말 손쉽고 간편하더라구요!!!,"[1, 0, 0, 0, 0]"
사용쉽고 간편하고 편안하게 휴식을 취할 수 있는 시간!!!,"[1, 0, 0, 0, 0]"
역시 유명한 이유가 있었네~,"[0, 0, 1, 0, 0]"
💬 난 올인원 넘좋아 ㅋㅋ,"[1, 0, 0, 0, 0]"
여행갈때도 간편하게 챙기고 #스킨 + #로션 +#에센스 가 하나로~~,"[1, 0, 0, 0, 0]"
아담한사이즈 그리고 #프릴장식 까지 넘 사랑스런 #토끼인형,"[0, 1, 0, 0, 0]"
체크무늬랑 빨강초록 예쁘네ㅋ,"[0, 1, 0, 0, 0]"
밀로앤개비 동물캐릭터도 사랑스럽고 귀엽다!!!,"[0, 1, 0, 0, 0]"
이불에 달린 딜런인형까지~,"[0, 1, 0, 0, 0]"
가격도 2만원대라 괜츈하고 예쁜 (선물하기도 좋은듯ㅋ) #로켓크로스가방 메고 #나들이,"[0, 0, 0, 1, 0]"
#3개의칫솔모 가 위와 양옆에서 감싸줘 양치질하기 더편하고 구석구석 더 깔끔해요,"[1, 0, 0, 0, 0]"
더 편한데 더 깔끔하게 닦을수 있어서 좋구요,"[1, 0, 0, 0, 0]"
본체하나로 칫솔모만 바꿔서 온가족이 쓸수 있어서 경제적이구요 ❤,"[0, 0, 0, 1, 0]"
손상모+ 볼륨 + 탄력을 한번에 케어하는 all in one #탈모트리트먼트 로 7초만에 보들보들한 물미역머리로 만들어주니 신기하네요 😄,"[1, 0, 0, 0, 0]"
#청담동팩 #연예인팩 으로 유명하던데 후기보자마자 #어머이건사야해,"[0, 0, 1, 0, 0]"
"두번째, 너무 마음에 드는 디자인!","[0, 1, 0, 0, 0]"
투박한 블랙색상보단 세련된 화이트 색상이 우리 주방과 조화로워요~,"[0, 1, 0, 0, 0]"
"세번째, 엄청난 가성비!","[0, 0, 0, 1, 0]"
"7L 초대용량인데 9만원대, 1년이 지나도 AS잘되고 소음작고 세척간편","[1, 0, 0, 1, 0]"
필립스같은 유명 브랜드는 아니지만 이슈가 된 전자파테스트도 통과했다네요.,"[0, 0, 1, 0, 0]"
30분씩 매일 돌려도 한달 전기세 3000원!!,"[0, 0, 0, 1, 0]"
레시피북 보며 간편하게 요리하는 재미로 외식안하게 되니 경제적이네요 ❤,"[1, 0, 0, 0, 0]"
벨트형식이라서 걸어다닐때도 사용 가능해서 굿굿 🤗,"[1, 0, 0, 0, 0]"
10분충전에도 최소 3시간이상 사용해서 연신 전자렌지에 데우러갈필요도 없구요,"[1, 0, 0, 0, 0]"
"유해전자파X, 무선사용으로 전기코드가 없어 장소 상관없이 사용가능해요 😁","[1, 0, 0, 0, 0]"
