input,entity,label
"여행 갈 때, 외출할 때 요건 #필수템",제품 전체#일반,0
#트롬건조기는사랑입니다 ..,제품 전체#일반,0
일단 촉촉하고 밀착력도 좋은편! ㅎㅎ,본품#품질,0
기분이 좋더라구요!,본품#품질,0
미끌거리거나 기름짐 없이 피부를 촉촉하게 만들어주는 보습력좋은 제품,본품#품질,0
환절기 되니 피부가 노답인데 겔랑 덕분에 조금씩 살아나는 중,제품 전체#일반,0
유해물질없는 무독성 친환경 소가죽으로 유럽인증까지 끝낸 안전한 상품 !,제품 전체#품질,0
세럼인데 쫀쫀하면서도 묽은 것이 피부에 가볍게 펴바르기 좋았구 피부가 푸석하고 메마를 때 요거 하나 발라주면 피부 속까지 수분이 채워지는 것 같아요,본품#품질,0
"바디워시, 세안 및 클렌징에도 사용 할 수 있죠~",본품#편의성,0
"거기에 이 바다 디자인은 바다갈 때, 나들이갈 때 가지고 가기 넘나 사랑스러운 비쥬얼이에요 >_<",제품 전체#디자인,0
가방 속에 쏙 챙기기도 좋고!,제품 전체#편의성,0
피부를 맑고 환하게 가꿔줘요~,본품#품질,0
유해성분은 노우 온가족 함께 사용할수 있는 럽피 참 좋네요 〰️,브랜드#품질,0
그래서 요즘 꼭 사용하고 있는 #아론샵 #물광트리트먼트,제품 전체#일반,0
자극적이지않고 7가지 쳔연유래 성분과 19가지 비타민 성분이 합쳐진 저자극필링젤,본품#품질,0
"피부에 자극에없고 진정,보습,생기,광채를 더해줘 촉촉한 피부로 연출가능",본품#품질,0
딱 봄여름에 바르기 좋은 색상들로 피부를 환하게 비춰줌,본품#일반,0
로겐조향수 작아서 가지고 다니기도 좋고 여름철에 선물하기에도 좋은 것 같아용 !,제품 전체#일반,0
#사용후기 는 매우매우 만족중🤩🤩,제품 전체#일반,0
오일보다 더 강력하고 워터보다 더 촉촉하고 순하게 깨끗하게 지원진다는 사실^^,본품#품질,0
"주름,미백,피부진정,보습을 #리뉴본달팽이크림 하나로 #피부관리",본품#품질,0
#카사업 반했어요ㅎㅎ,제품 전체#일반,0
향이 우선 크 내가 좋아하는 해외 e브랜드 내가 좋아하던 그향!!!!,본품#일반,0
&name&가 사용할거라서 #가성비 좋은 놈으로 #겟,제품 전체#가격,0
유수분밸런스도 맞춰주고 묽은 수분크림 제형이라...#초크초크 끈적이지 않아 요즘날씨에도 바르기 좋으네요~,본품#품질,0
"세안 후, 피부 자극도 덜하고 촉촉해서 당김도 확실히 좋아진 것 같아서 완전 반한 제품이에요~",본품#품질,0
"하 영롱해 ,, ෆ",패키지/구성품#디자인,0
백탁현상없고 완벽한 자외선차단!,본품#품질,0
매일 매일 발라도 부담없는 #데일리대용량앰플,본품#일반,0
#블루트스 이어폰이 좋아서 베프랑 안 걷던 운동도 하고 ㅋㅋ,제품 전체#일반,0
하루 한장씩 뜯어 사용후 바로 버리기 때문에 간편하기도 하고 주방도 청결해지죠~,제품 전체#편의성,0
머리부터 발끝까지 사용할수있는 제품,제품 전체#일반,0
#유럽판매1위 에 걸맞게 동물성분이 없고 어린이도 써도 되는 안전함과 보습력,제품 전체#인지도,0
왜들 좋아하는지 이유를 알겠슴..,제품 전체#인지도,0
건조한 피부 극복을 위해 #허그미모이스춰스팀크림 준비!!,제품 전체#일반,0
#제이엠솔루션 물광마스크팩으로 지친 피부를 위해 1일1팩 실천중 ❣️,제품 전체#일반,0
#고급스러운향,본품#일반,0
믿고 쓰는 #더블하트,브랜드#일반,0
부드럽고 흡수력 좋고 허리밴드가 쫀쫀하니 잘 늘어나니 진심 편한게 느껴지나봐요~,제품 전체#품질,0
짱짱함 갑!!,제품 전체#품질,0
내일은 #화이트데이 라 여자친구에게 요런 #선물 하면 완전 사랑받을 듯 해요 ㅋㅋ,제품 전체#일반,0
아토팜 콩순이 팩트 고마워!,제품 전체#일반,0
#설화수 #설안팩 사용한 뒤로는 자고 일어나면 피부가 투명해진게 느껴져용 😍,본품#품질,0
"이거슨 진짜 대박템, 추천템, 잇템 !!",제품 전체#일반,0
푸석푸석 뻣뻣한 머릿결을 위해 꼭 사용하고 있는 #헤드스파7트리트먼트,제품 전체#일반,0
여기에 #스프레이 까지 한 뻔 칙하고 뿌리면 하루 종일 신경꺼도 되네요~,제품 전체#품질,0
맘에 드네요!!^^,제품 전체#일반,0
활동적인 &name&에게 편하게 입힐수있어 좋으다😍,제품 전체#편의성,0
백탁현상은 당연히 없는데다 본래 피부처럼 자연스럽게 스며들어요!,본품#품질,0
타고난 #민감성 피부라 화장품을 고를 때도 깐깐했는데 #더마토리아줄렌시카라인 을 사용해보니 확실히 자극이 없더라고요!👍🏻,본품#품질,0
휴대도 편리하니 곧 다가오는 휴가시즌 꼭 챙겨가서 꾸준히 사용하려구요ㅎ,본품#편의성,0
"기초바르고 답답한거 싫어하거나, 여름에 바르기 딱인 듯 !",제품 전체#편의성,0
#에스닉 느낌도 좋쿠 체형커버도 되는 것 같구,제품 전체#품질,0
피부에 에센스가 잘 흡수되어 피부촉촉함 뿐만 아니라 광채와 탄력 모공케어까지 관리 OK!,본품#품질,0
손상모+ 볼륨 + 탄력을 한번에 케어하는 all in one #탈모트리트먼트 로 7초만에 보들보들한 물미역머리로 만들어주니 신기하네요 😄,본품#편의성,0
일명 #승무원비누 라고 유명하죠 ㅎㅎㅎ,제품 전체#인지도,0
글루어 좁쌀 여드름 진정 부스터 세럼을 사용하고 있는데 효과 좋아요❤,본품#품질,0
생크림처럼 부드러운 사용감의 #무기자차 선크림이에요~,본품#품질,0
요즘 #자외선 이 심해서인지 피부가 칙칙했었는뎅 #수면팩 으로 자면서 투명하게~,본품#품질,0
리프팅효과가~~ 광이나면서 쫀쫀하게~업시켜주는,본품#품질,0
은은한 #아기냄새 가 넘 좋다,본품#일반,0
오가닉 원료들 함유로 온가족이 사용가능한 베베 카멜리아 앤 라벤더 밤!,본품#품질,0
부드럽고 시원한 원단도 좋고 예쁘고 귀여운 그래픽이 특징이에요~,본품#품질,0
그리고 낱개 포장(50개입)이라 여행갈때도 챙겨가기좋고 위생적이라서 맘에 들었음 👍🏻,패키지/구성품#일반,0
2가지 텀블러를 컬러믹스매치 체인지하면 센스있는 커플텀블러 완성💕,본품#다양성,0
청담동 인근 피부샵이랑 오닉스 써보신 분들께 입소문 많이 난 제품이라고 하더라구요~🤔🤔,제품 전체#인지도,0
5가지 노화예방 효과성분 함유로 부드러운 톤업효과까지 볼수있는 포브리에 선블럭 아쿠아 라이트 V2,본품#품질,0
요거 2종만 챙겨놓으면 매우 든든하다구요~🤘🏻,제품 전체#일반,0
향도좋은데 촉촉하게 발리고 흡수력도 좋아요,본품#품질,0
펌핑형의 사용하기도 간편하고 모발끝이 갈라지고 힘이 없거나 부스스하여 정돈이 필요할 때 꼭 해줘야해요^^,패키지/구성품#일반,0
만져보면 부드러움이 딱 느껴져요👍🏻,제품 전체#품질,0
뚜껑 열자마자 향에 반하고 가볍고 끈적임없이 부드럽게 발리지만 피부속까지 촉촉함은 대박인!,본품#일반,0
피부결도 정돈되고 촉촉함이가득~,본품#품질,0
혼자 쓰기 아까운 핸드크림 친구들에게 선물각이다❗,제품 전체#일반,0
피부 곳곳을 적시듯 스며드는 텍스처 대박임,본품#품질,0
블링블링~ 자연스러운 립메이크업 이쁘다,제품 전체#일반,0
기대했던것보다 효과가 더욱 좋아요~,제품 전체#품질,0
"제가 사용해보니 캐터피는  묶을 필요도 없고, 풀릴 필요없는 신발끈이고 캐터피 신발끈은 신축성이 좋아서  사용했을 때 발이 더 편하다는 점 다른 제품과 비교하여 이 제품만이 가지고 있는 의미있는 특이점이 아닐까 싶어요",제품 전체#품질,0
"제품을 보게되면 쉽게 사용할 수가 있는데요,",본품#편의성,0
차와 커피를 좋아하는 분에게 최고의 선물 ✔️,제품 전체#일반,0
다음 날 되면 초크초크 화장 넘나 잘먹네!,본품#품질,0
촉촉하고 끈적임없으며 피부에 밀착되어 자연스럽게 밝아 지는데 유분으로 남지 않아 지속력이 좋아요~,본품#품질,0
가격이 착하고 사용법이 간편해서 더 좋아요,본품#편의성,0
#실내복추천,제품 전체#일반,0
피부를 건강하게 해주는 7가지 뿌리성분이 피부를 밝게 도와줘요♡,본품#품질,0
예쁜 별에 담은 하트가 뽀인트~~♡,제품 전체#디자인,0
이건 제가 써보고 넘 괜찮아서 친구들에게도 다 권유하고 주변 사람들에게 한번씩 써보라고 추천 하는 제품이에요!,본품#일반,0
환절기라 메이크업을 해도 늘 좀 칙칙한 느낌이 있었는데 요즘은 화사한 &name&랄까?ㅎㅎ,본품#품질,0
커버력도 되고 꿀을 듬뿍들어가서그런지 피부가 쫀쫀하게 밀착되는 #허니쿠션 #틴프레드,본품#품질,0
묻어나는것도 거의 없고 색도 너무 예쁨!,본품#품질,0
여름철이라 #음식물쓰레기 때문에 늘 고민인데🤮🤮 과일이나 야채 손질한 후 마이스 음식물쓰레기봉투에 바로 밀봉해서 #음식물쓰레기통 에 버리면 돼서 냄새없이 위생적으로 관리할수있어요💚,제품 전체#품질,0
내 피부고민 해결해주니 너무 좋앙❤️,제품 전체#일반,0
"전자렌지 전용이라 간편하고 빠르게 요리할 수 있고 고구마,감자,콘치즈,라면,계란찜,국종류,등등 할수 있는 요리들도 많고 도자기라서 더 건강하게 즐길수 있어요 ㅋㅋ",제품 전체#품질,0
장난감이나 컵 치발기 연결해서 즐겁게 pick up~,제품 전체#일반,0
#세탁세제 향까지 좋아요❤,본품#일반,0
완벽한 밀착력에 수분감이 가득,본품#품질,0
끈적임없이 피부에 쏙~ 흡수되고,본품#품질,0
초초밀착력으로 영양 쏙쏙 피부 그대로 흡수되는 느낌,본품#품질,0
화장지 심 내부에 식물유래 소취성분 처리로 상쾌하고 기분좋은 공간을 만들어줘요,본품#품질,0
#히피펌 하고나니 부시시함 끝판왕이었는데 밀크바오밥 컬링에센스 사용하니 차분해지면서 컬링은 살아있고..완전 좋아요!,제품 전체#품질,0
- 그지존 지겨우면 야무지게 이용할 수 있겠다,제품 전체#일반,0
여행갈때도 간편하게 챙기고 #스킨 + #로션 +#에센스 가 하나로~~,패키지/구성품#편의성,0
흡수력 짱!!,제품 전체#품질,0
본체하나로 칫솔모만 바꿔서 온가족이 쓸수 있어서 경제적이구요 ❤,제품 전체#가격,0
추울수록 좋은 일에 동참도 하고.. 좋은 제품도 퐁퐁 쓰고 촉촉하고.. 좋아서 전 벌써 이번이 3번째랍니다..,제품 전체#일반,0
믿음 팍팍가요,브랜드#일반,0
다음 주에 동남아여행 앞두고 #자외선차단 더 신경쓰였는데 자외선뿐 아니라 근적외선까지 차단해서 태양열과 빛으로부터 지켜주는 #열광자차 라니 참 든든해요 🙆‍♂️,본품#품질,0
정말 순하고 수분감 가득 촉촉해서 좋다,본품#품질,0
확실히 부드럽고 찰랑거리는 머릿결을 느낄수 있어 너무 좋네요,본품#품질,0
"7L 초대용량인데 9만원대, 1년이 지나도 AS잘되고 소음작고 세척간편",제품 전체#가격,0
자기 전 듬뿍 발라 수면팩으로 사용하면 아침에 피부가 보들보들 쫀쫀하느낌이에요,본품#품질,0
#벤타 제품은 워낙 좋다고 입소문이 난 터라 믿고 사용하는데 역시 직접 사용해 보니 더욱더 만족스럽네요♡♡,제품 전체#일반,0
피부톤 톤업만 해주는게 아니에요,본품#품질,0
피부 깊숙한 곳까지 #수분공급,본품#품질,0
귀여운사과그래플토이,제품 전체#디자인,0
바르자마자 자연스러운 톤업효과,본품#품질,0
#자수정모델링팩 하나면 피부관리실에 온 듯 수분감 폭발!!,본품#품질,0
요 쪼마난 것이 펼치면 확~ 커지는 요술담요죠!,제품 전체#일반,0
"펌프도 물방울 모양으로 꼼꼼하게 바를 수 있고, 시원한 쿨링감도 있더라구요.",패키지/구성품#디자인,0
이거 중독성 쩔어요...,제품 전체#일반,0
"어디서나 의자, 식탁의자에 장착이 가능해서 좋아요",제품 전체#편의성,0
EGW 인증된 저자극 안심성분제품으로만 사용하고 작은거품들이 아기의 몸 구석구석을 꼼꼼하게 닦아주며 세정력도 좋으면서 이물감없이 뽀득뽀득 씻겨지는 기분이였어요,본품#품질,0
머리를 묶었다 풀때마다 향이 넘좋아서 일부러 풀었다 묶엇다는ㅎㅎ,본품#일반,0
뽀얀 빛깔의 무겁지 않은 제형이라 끈적임 없이 산뜻하게 흡수되니까 #데일리앰플 로 너무 맘에 듬,본품#일반,0
코튼이 들어간 #리얼코튼썸머 제품으로 부드럽고 제맘에도 쏙드네요~~,제품 전체#품질,0
밤 사이 #화이트헤드 #블랙헤드 굿바이 🖐,본품#품질,0
요즘 제가 잘쓰고 있지요~,본품#품질,0
괜히 #두피보약 이 아니란 말씀!!,제품 전체#일반,0
그러니 당연히 피부결도 매끄러워보이고 깨끗해보이고..,본품#품질,0
사용후에도 촉촉한 클렌저는 너가 처음이야♥️,본품#품질,0
역시 #믿고쓰는몽디에스 아니겠어??,브랜드#인지도,0
자외선 차단은 물론이고 자연스러운 톤업되는 선케어를 찾으시면 요거 추천해요~~,본품#품질,0
#칫솔살균기추천,제품 전체#일반,0
&name&때부터 애정하며 사용중이지~😙,제품 전체#일반,0
15g으로 가볍고 소형사이즈라 어디서나 휴대해서 사용할수 있어요!,패키지/구성품#디자인,0
⭐하얗게 뜨는 백탁 없이 자연스럽게 톤보정을 해주는 데일리 톤업베이스랍니다,본품#품질,0
아무도 안주고 나만 써야겠다~,제품 전체#일반,0
100%퓨어 유기농 시어버터 단하나의 성분으로 최대효과를 낼수있는 너란아이,본품#품질,0
나스 발색력은 원래 알아주기 때문에 좀 더 촉촉한 걸 찾는다면 라나,본품#품질,0
바론모링가체리블라썸기프트세트 만나보세요~,제품 전체#일반,0
3가지 어플리케이터로 체계적으로 집에서도 관리 가능한데요~,본품#다양성,0
이중세안없이 워터프루프 메이크업까지 싸악 한번에 부드럽게 지워집니다 👍🏻,본품#품질,0
휴대가 간편한 usb연결 방식이라 캠핑장에서도 사용할수있어 굿굿~♩,본품#편의성,0
자외선 차단은 물론이고 자연스러운 톤업되는 선케어를 찾으시면 요거 추천해요~~,본품#품질,0
앞으로 건조한 환절기에 잘 부탁해 ..,제품 전체#일반,0
#살랑드파리 추천 받아 사용중인데 향도 좋고 성분도 맘에 들어 굿굿~!,본품#일반,0
예쁘기만 한게 아니라 기능도 퍼펙 ㅋㅋ..,본품#품질,0
배색도 핑크랑 그레이라 무난하면서도 칙칙하지 않다.,제품 전체#디자인,0
그리고 유분기는 잡아주고 피부 생기 톤업,본품#품질,0
근데 치마가 딱 예쁘게 트임이 있어서 내 다리라인을 보여줄듯 말듯하며 은근 섹시미를 보여줌,제품 전체#디자인,0
아기자기한걸 좋아하는 우리 딸램을 위해 준비한 #무민수납장,제품 전체#디자인,0
특히 삼성 노트북 Pen S에 내장된 S펜은 정말 볼펜이나 연필로 글씨를 쓰는 것처럼도 편하게 사용이 가능하고 언제 어느 때나 필기도 그림도 그릴 수 있어서 넘 좋다!,본품#품질,0
피부에자극을 주지 않는 안전한성분,본품#품질,0
"#저자극보습크림 으로 피부민감한분들도 바를수 있고 , 피부장벽 강화에 도움되고 진정효과로 피부를 편안하게~",본품#품질,0
촉촉하고 지속력도 있어요,본품#품질,0
근데 나는 히트웨이브가 첫 정?이 들어서 히트웨이브가 더 좋다,본품#일반,0
사용할수록 맘에듬..,제품 전체#일반,0
"하나만으로 탄력,피부,윤기,수분 어느거 하나 포기하지않고 #피부관리 OK!",본품#품질,0
휘핑크림같은 풍부한 거품이 치아를 더 하얗게~,본품#품질,0
"메이크업베이스 기능이 함유되어 있어 메이크업전 매끈한 피부결 표현도 가능하게 해주고, 파운데이션과 톤업크림을 믹스해 톤보정, 립스틱이랑 톤업크림과 믹스해서 볼터치로도 사용가능하니 활용성 쵝오!!",본품#품질,0
#콜카 #스니커즈 예쁨 뿜뿜,제품 전체#디자인,0
딱 적합한 제품입니다 👍🏻),제품 전체#일반,0
디자인도 참 예쁘죠??,제품 전체#디자인,0
봄이 올듯말듯 여전히 찬바람은 쌩쌩이고 건조하기까지 한데 내 피부 윤기나게 지켜줘야죵!ㅎㅎ,본품#품질,0
공인기관 살균력테스트 99%살균시험 인증 완료 받은 똑똑한 #클레온무선칫솔살균기,본품#품질,0
이젠 안하면 허전한..,제품 전체#일반,0
각질은 제거해주고 보습은 확실히해줘서 매일매일 화장도 잘먹어요 😀,본품#품질,0
워낙 유명한 브랜드^^,브랜드#인지도,0
쿨링감이 진짜~ 최고!!,본품#품질,0
넘넘 취향저격이얌 💕,제품 전체#일반,0
#여친선물 로도 제격,제품 전체#일반,0
"특허받은 자이엘라이트라는 물질은 흔적완화,피부진정,장벽강화에 도움된다고해요~",본품#품질,0
입냄새를 개선해줘..,본품#품질,0
"교구만 봐도 수개념, 역할놀이 등등 못하는게 없는 #창의융합교육 이 이런거구나 싶다!",제품 전체#품질,0
게다가 미세먼지까지 싹 클렌징해준다니 메이크업 안하는 날에도 모공관리위해 매일 클렌징 해준답니다 ❤,본품#품질,0
#예쁘다 💎,제품 전체#디자인,0
실키한 제형에 끈적이지 않고 산뜻한 마무리감이 너무 좋은 #아토베리어365로션 과 #아토베리어365크림 속 하얀 더마온 캡슐이 사르르 녹아 눈에 보이는 보습을 책임지는 #아토베리어365크림,본품#일반,0
퀄리티 대박이고 너무너무 이뽀여😘,제품 전체#품질,0
바르자마자 보들보들해서 아침에 발랐을 때 기분이 특히 좋아요,본품#품질,0
고급에스테틱 별거아니라며 ㅋㅋ,제품 전체#일반,0
사용해보니 더 사용그립감이 좋은 #스위스덴트 #칫솔,제품 전체#품질,0
또 소매는 프릴튤립형태라 팔뚝살 가리기에 딱!,본품#일반,0
두가지 선스틱 모두 물과 땀에 강한 #지속내수성선스틱 이에요.,본품#품질,0
폴리페놀이 풍부한 100점 만점 패드네용!,본품#품질,0
굿뜨❤,제품 전체#일반,0
화장후 지우는것도 중요한데 세안후 건조해서 더 고민인데 이제 고민 끝~~,본품#품질,0
끈적이지 않는 산뜻한 발림성의 선젤타입이라 좋아좋아!!,본품#품질,0
씻고난뒤에 로션을 듬뿍발라도 건조한 것 같아서 걱정이였는데 리틀마마 스파워시로 바꿔보았더니 오래도록 촉촉하네요!,본품#품질,0
종류별로 또 사야겠당-,제품 전체#일반,0
베베누보 신상품 침낭형 낮잠이불로 요즘 재워보고 있는데 패드가 우선 도톰하고 일체형또는 분리할수있어 편합니다!,본품#편의성,0
아기 제품이지만 성인도 함께 쓸 수 있는 #폼클렌징 에 #미스트 에 좋은 제품이 넘 많은 #메종드베베,브랜드#일반,0
클렌징 후에도 당김 없답니다👍,본품#품질,0
다음 날 내 피부 반짝반짝 화장도 넘나 잘 먹어요👍,본품#품질,0
360도 뒤집어 뿌려도 잘 나오는 분사력으로 인해 등케어도 OK!랍니다,패키지/구성품#품질,0
더군다나 예쁘기까지,제품 전체#디자인,0
LEXMA 블루투스 마우스는 크기가 작아 어딘가 갈 때 UMPC와 함께 들고 다니기에도 편리할 듯 싶다.,제품 전체#편의성,0
설 맞이해서 엄마한테 선물해볼까 싶어서 했는데 워후-! 수분이랑 영양을 같이 채워주고 촉촉함이 오래가는게 너무 신기하더라구요.,본품#품질,0
미트트처럼 분사력도 좋고 흐트러짐 없이 컬링 그대로~~,패키지/구성품#품질,0
#핸드크림 대만족이에요😄,제품 전체#일반,0
"👉 슈렉팩 : 녹차수함유, 팥스크럽이 모공은 잡아주고, 블랙헤드는 빼주고 각질제거로 매끈한 피부로 만들어주는 진짜 슈렉팩!",제품 전체#품질,0
모근부터 건강한 머릿결을 유지 시켜 #탈모방지 에 도움되는 #블루타일써머링샴푸,본품#품질,0
완전 이거 신세계잖아요,제품 전체#일반,0
천연향에 비트알콜을 사용하여 어린이나 반려동물이 있는 집에서도 안심하고 사용할 수 있답니다.,본품#품질,0
안티에이징과 수분관리를 한번에 할수 있으며 팩이 밀착력도 있고 피부에 흡수까지 되서 화장도 잘 받아 들뜨는것도 없다는 사실요,본품#품질,0
사용감도 끈적임 없이 가벼워서 여름에도 바르기 좋을 것 같아요,본품#품질,0
넘 예쁜 # #오드오랄 치약 #취향저격!,패키지/구성품#디자인,0
들뜸없이 촉촉하게 스며드는 자연스러운 #톤업크림,본품#품질,0
사용하자마자 #솔리드퍼퓸 반해버렸어요~~ 😍,제품 전체#일반,0
